userID;description;typeofdirectuse;date;directrequired;directwaterquality;directlocation;directusage;indirectrequired;indirectquality;indirectlocation;indirectusage;notes
37;Electricity;Electricity;"2012-02-26 05:15:00";Optional;Unknown;"Albuquerque USA";0;Required;Blue;Unknown;42;"I spent about two hours using electricity at home.  I cannot access my electric bills, but estimate that I use about 0.75 kW per hour based on my bulb size.  At spectrum.ieee.org, researchers found that we use approximately 95 L per kW-hour of electricity.  So my home consumption is about 142.5 L or 38 gallons.  I also spent two hours at my healing office and used about 0.12 kW for indirect consumption of about 3 gallons.  I also purchased a burrito from Frontier and bought groceries at Smith's and spent about 30 minutes total in these buildings.  They were very well-lit and most likely consumed quite a bit of electricity.  I cannot track down a clear figure for average electricity consumed in retail shops, though one figures places Starbuck's consumption at 5.84 kW-H per square foot each day.  I will ballpark that I indirectly consumed about 1 gallon of water from using the electricity in these shops."
37;"Store-Bought Food";Food;"2012-02-26 05:30:00";N/A;N/A;"Albuquerque USA";0;Required;Unknown;Unknown;4672;"I bought a burrito (wrapped in paper and served with napkins in a paper bag).  According to Discover, one sheet of paper requires about 3 gallons to produce, so I probably indirectly consumed about 3 gallons here.  The burrito had a wheat tortilla, potatoes, cheese, eggs, and green chiles.  According to ""Water Content of Things"" from ""The World's Water,"" All these items combined would require about 10,600 gallons of water per kilogram of food.  A burrito is probably about .4 kilograms, so 4,240 gallons of water would be embedded in this burrito.  This number is huge!  I wonder if it is correct.  It seems possible, since growing crops and processing and transporting the food would use a lot of water.  But I hope this doesn't throw off comparison calculations!  Later, I bought some corn tortillas wrapped in plastic and two chocolate bars wrapped in paper and got a receipt.  The wrapping adds about 4 gallons of water, and the ingredients may add up to 425 gallons of water.  I wonder if this is anywhere near accurate.  It is very tricky to track this down and attempt to compare, so I apologize if this is off the charts!"
64;"""Giving back to the System""";Hygiene;"2012-02-25 17:00:00";Required;Green;"Albuquerque USA - Home";10.2;N/A;N/A;Unknown;0;"This is the ""restroom"" tally for the entire day.
"
64;Showering;Hygiene;"2012-02-25 18:00:00";Optional;Green;"Albuquerque USA - Home";20;N/A;N/A;Unknown;0;"Showered twice for roughly 5 minutes"
64;"Eating and food prep";Food;"2012-02-25 08:00:00";N/A;N/A;"Albuquerque USA";0;Required;Unknown;"Texas Road House";10;"Went out to eat, did not eat much beside this on 2-26-12"
64;"Drinking water/ adult beverages";Hydration;"2012-02-25 16:15:00";Required;Green;"Albuquerque USA";2;Required;Green;Unknown;2;"These are estimations of water consumption and the amount of beverages I drank in association with socializing. "
38;"Flushed toilet";toilet;"2012-02-25 12:30:00";Required;Blue;"Albuquerque USA";1.6;N/A;N/A;Unknown;0;
38;"Washed hands";Washing;"2012-02-25 16:30:00";Required;Blue;"Albuquerque USA";1.5;N/A;N/A;Unknown;0;
38;"Filled water bottle";"Drinking water";"2012-02-25 16:45:00";Required;Blue;"Albuquerque USA";0.5;N/A;N/A;Unknown;0;
38;"FIlled water glass";Drinking;"2012-02-25 17:30:00";Required;Blue;"Albuquerque USA";0.09;N/A;N/A;Unknown;0;"This was a 12 ounce glass."
38;"1 load of laundry";laundry;"2012-02-25 18:15:00";Required;Grey;"Albuquerque USA";20;N/A;N/A;Unknown;0;
38;"Flushed toilet";toilet;"2012-02-25 18:30:00";Required;Grey;"Albuquerque USA";1.6;N/A;N/A;Unknown;0;
38;Shower;Shower;"2012-02-25 18:30:00";Required;Grey;"Albuquerque USA";50;N/A;N/A;Unknown;0;
38;"Washed hands";Washing;"2012-02-25 19:00:00";Required;Grey;"Albuquerque USA";1.5;N/A;N/A;Unknown;0;
38;"1 load of laundry";laundry;"2012-02-25 19:15:00";Required;Grey;"Albuquerque USA";20;N/A;N/A;Unknown;0;
38;"1 load of laundry";laundry;"2012-02-25 21:00:00";Required;Grey;"Albuquerque USA";20;N/A;N/A;Unknown;0;
38;"Flushed toilet";toilet;"2012-02-25 11:00:00";Required;Grey;"Albuquerque USA";1.6;N/A;N/A;Unknown;0;
38;"Dinner-steak and salad";Dinner;"2012-02-26 02:30:00";N/A;N/A;"Albuquerque USA";0;Required;Green;Unknown;100;"I am not sure on the gallons for indirect use.  I was having a hard time finding individual information for lettuce and beef.  Everything seemed to be on a global scale."
38;"Brushed teeth";Hygiene;"2012-02-26 06:30:00";Required;Grey;"Albuquerque USA";1.5;N/A;N/A;Unknown;0;
57;"Brushed teeth";direct;"2012-02-25 14:00:00";Required;Blue;"Albuquerque USA";1;N/A;N/A;Unknown;0;
57;"filled up Water bottle for Daily Mechanicing";"Drinking water";"2012-02-25 14:15:00";Required;Blue;"Albuquerque USA";0.5;N/A;N/A;Unknown;0;
57;"Use of Latrine";"Toilet flush";"2012-02-25 15:00:00";Required;Blue;"Albuquerque USA";1.75;N/A;N/A;Unknown;0;
57;"Brushed teeth";direct;"2012-02-26 18:30:00";Required;Blue;"Albuquerque USA";0.5;N/A;N/A;Unknown;0;
47;"Toilet Flushes ";Hygiene;"2012-02-25 19:00:00";Required;Blue;"Albuquerque USA";8;N/A;N/A;Unknown;0;"I flushed the toilet 5 times.  The toilet used was low flow and I calculated my water usage from this website.  http://www.swfwmd.state.fl.us/conservation/thepowerof10/
"
71;Shower;Shower;"2012-02-25 16:15:00";Required;Blue;"Albuquerque USA";12.5;N/A;N/A;Unknown;0;
47;"Shower ";Hygiene;"2012-02-25 16:30:00";Required;Blue;"Albuquerque USA";30;N/A;N/A;Unknown;0;"I took a 15 minute shower with a low flow shower head. "
71;Shower;Shower;"2012-02-27 03:15:00";Required;Blue;"Albuquerque USA";12.5;N/A;N/A;Unknown;0;
47;"Brush Teeth ";Hygiene;"2012-02-25 16:30:00";Required;Blue;"Albuquerque USA";2;N/A;N/A;Unknown;0;"I brushed my teeth twice with approximately 1 minute of running water.  Low flow faucet. "
71;Hydration;Hydration;"2012-02-26 20:30:00";Required;Blue;"Albuquerque USA";0.5;Required;N/A;Unknown;0;"Summation for the entire day."
71;Coffee;Drinking;"2012-02-26 20:30:00";Optional;Blue;"Albuquerque USA";0.25;Optional;Green;Unknown;221;"Honestly think the Water Foot Print calculator here is odd. 221 Gallons, but the coffee plantations I have seen do not irrigate, so its rainwater. "
71;"Took my son to Hinkle Family Fun Center";Transportation;"2012-02-25 20:30:00";N/A;N/A;"Albuquerque USA";0;Optional;Unknown;Unknown;2.5;
71;"Oatmeal for Breakfast";Food;"2012-02-26 20:30:00";Required;Blue;"Albuquerque USA";0.01;N/A;Unknown;Unknown;110;
47;"Driving ";Transportation;"2012-02-25 17:45:00";N/A;N/A;"Albuquerque USA";0;Optional;Unknown;Unknown;6.45;"I drove 15 miles and my car gets at 30 mpg.  From the National Geographic website, every gallon of gas requires 12.9 gallons of water.  "
71;Potty;"Toilet flush";"2012-02-26 20:45:00";Required;Blue;"Albuquerque USA";5;N/A;N/A;Unknown;0;"Several flushes, but all but one time I used water saved from the shower."
47;"Hydration ";Hydration;"2012-02-25 17:15:00";Required;Blue;"Albuquerque USA";0.375;N/A;N/A;Unknown;0;"Water usage for whole day.  Drank 3 16 oz glasses of water "
47;"3 loads of laundry ";laundry;"2012-02-26 17:00:00";Required;Blue;"Albuquerque USA";6;N/A;N/A;Unknown;0;"Washer uses about 13.9 gallons of water per load, and is a water saving machine.  "
71;"Pizza and Beer";Food;"2012-02-26 02:45:00";Required;Unknown;"Albuquerque USA";0;Required;N/A;Unknown;700;
38;"Brushed teeth and washed hands";Hygiene;"2012-02-26 17:00:00";Required;Grey;"Albuquerque USA";3;N/A;N/A;Unknown;0;
38;"Washed face";Hygiene;"2012-02-26 17:15:00";Required;Grey;"Albuquerque USA";3;N/A;N/A;Unknown;0;
38;"Flushed toilet";toilet;"2012-02-26 17:15:00";Required;Grey;"Albuquerque USA";1.6;N/A;N/A;Unknown;0;
38;"Filled water bottle";Hydration;"2012-02-26 17:30:00";Required;Blue;"Albuquerque USA";0.5;N/A;N/A;Unknown;0;
38;Shower;Hygiene;"2012-02-26 19:00:00";Required;Grey;"Albuquerque USA";25;N/A;N/A;Unknown;0;
40;"I bought some jeans. ";Manufacturer;"2012-02-25 18:00:00";N/A;N/A;"Albuquerque USA";0;N/A;Grey;China;2905;"That is a lot of water!"
40;"Driving my car";Transportation;"2012-02-25 16:00:00";N/A;N/A;"Albuquerque USA";0;Required;Grey;"Don't Know";6;"I drove about 14 miles"
40;"Flushing Toilet";Hydration;"2012-02-25 17:00:00";Required;Grey;"Albuquerque USA";5;N/A;N/A;Unknown;0;"I flushed the toilet a total of 5 times yesterday"
40;"Brushing Teeth";Sanitation;"2012-02-26 04:15:00";Required;Blue;"Albuquerque USA";0.2;N/A;N/A;Unknown;0;"This accounts for brushing my teeth twice. "
40;"Washing Dishes";Sanitation;"2012-02-25 21:00:00";Required;Blue;"Albuquerque USA";15;N/A;N/A;Unknown;0;"My shower was 4 1/2 minutes and that is my best estimate of the number of gallons used. "
40;"Drinking Water";Hydration;"2012-02-25 17:00:00";Required;Blue;"Albuquerque USA";0.5;N/A;N/A;Unknown;0;
40;"Flushing Toilet";Sanitation;"2012-02-26 16:00:00";Required;Blue;"Albuquerque USA";5;N/A;N/A;Unknown;0;
40;"Brushing Teeth";Hygiene;"2012-02-26 15:30:00";Required;Blue;"Albuquerque USA";0.2;N/A;N/A;Unknown;0;
40;Shower;Hygiene;"2012-02-26 18:00:00";Required;Blue;"Albuquerque USA";15.2;N/A;N/A;Unknown;0;"4:40 was the duration of my shower. "
40;Driving;Transportation;"2012-02-26 19:00:00";N/A;N/A;"Albuquerque USA";0;N/A;Grey;Unknown;13.1;"I drove about 32 miles today from going to my soccer games and driving to the west side of town to see my parents. My car gets about 28mpg.  "
40;"Drinking Water";Hydration;"2012-02-26 20:00:00";Required;Blue;"Albuquerque USA";0.5;N/A;N/A;Unknown;0;
40;"Eating Japanese beef dinner";Eating;"2012-02-27 01:00:00";N/A;N/A;"Albuquerque USA";0;Required;Blue;Unknown;450;"One pound of beef requires 1,799 gallons.  I would estimate I ate 1/5 of that amount which is about 360 gallons.  I actually never eat red meat, and this proves why I shouldn't.  "
57;"shower ";"wash oder off my body";"2012-02-26 22:15:00";Required;Blue;"Albuquerque USA";15;N/A;N/A;Unknown;0;
57;"filled up water bottle for daily use";"Drinking water";"2012-02-27 02:45:00";Required;Blue;"Albuquerque USA";0.25;N/A;N/A;Unknown;0;
57;"flushed toilet";"Use of Latrine";"2012-02-27 01:15:00";Required;Blue;"Albuquerque USA";2.5;N/A;N/A;Unknown;0;
86;"Test Entry";Testing;"2012-02-27 19:15:00";Required;Blue;"Albuquerque USA";50;Optional;Green;Unknown;50;
57;"flushed toilet";"Use of Latrine";"2012-02-27 14:00:00";Required;Blue;"Albuquerque USA";2.5;N/A;N/A;Unknown;0;
57;"wash Oder off my body";Shower;"2012-02-27 14:15:00";Required;Blue;"Albuquerque USA";16;N/A;N/A;Unknown;0;
57;"drinking water";"filled up water bottle";"2012-02-27 14:30:00";Required;Blue;"Albuquerque USA";0.25;N/A;N/A;Unknown;0;
57;"drinking water";"filled up water bottle";"2012-02-27 22:45:00";Required;Blue;"Albuquerque USA";0.25;N/A;N/A;Unknown;0;
64;"""Giving back to the System""";Hygiene;"2012-02-26 17:15:00";Required;Green;"Albuquerque USA";4.5;N/A;N/A;Unknown;0;
64;"Drinking water/ adult beverages";Hydration;"2012-02-26 09:30:00";Required;Green;"Albuquerque USA";2.5;N/A;N/A;Unknown;0;
64;"Eating and food prep";Eating;"2012-02-27 12:30:00";N/A;N/A;"Albuquerque USA";0;Required;Green;"Albuquerque USA - Home";2;
62;"Toilet Flush";Hygiene;"2012-02-26 02:15:00";Required;Unknown;"Albuquerque USA";18.3;N/A;N/A;Unknown;0;"3 toilet flushes during the rest of the day"
62;"Drinking Water";Hydration;"2012-02-26 02:15:00";Required;Blue;"Albuquerque USA";0.8;N/A;N/A;Unknown;0;
62;Garden;Domestic;"2012-02-26 02:15:00";Required;Unknown;"Albuquerque USA";6;N/A;N/A;Unknown;0;"Estimate. With  10 gallon bucket I can determine how much water it takes to water my garden, but its a very small plot and I cant imagine that more than 6 gallons would be used. "
62;"Soft Drink";Hydration;"2012-02-26 02:30:00";Required;Unknown;"Albuquerque USA";3.1;N/A;N/A;Unknown;0;
62;Driving;Transportation;"2012-02-26 02:30:00";N/A;N/A;"Albuquerque USA";0;Required;Unknown;Unknown;13;"http://environment.nationalgeographic.com/environment/freshwater/water-calculator-methodology/#page=2

According to this article 1 gallon of gas is equivalent to 12.9 gallons of water. 
This is an aproximation of how much gas I used that day, because I filled up my 12 gallon tank on friday, and have used about a quarter of it over the last three days, meaning some 13 gallons of water each day. "
40;"Driving my automobile";Transportation;"2012-02-27 12:30:00";N/A;N/A;"Albuquerque USA";0;Required;Grey;Unknown;4.6;
35;"Watered both lawns";Landscaping;"2012-02-25 20:00:00";Required;Blue;"Albuquerque USA";270;N/A;N/A;Unknown;0;"I watered the lawn in the front and the lawn in the back for 15 minutes each.  Both sprinkler systems are tied to nearby outdoor faucets so I calculated the output of the sprinklers by measuring the amount of water from each faucet for 20 seconds and then multiplying (9 gallons per minute!).  "
40;"Flushing Toilet";Sanitation;"2012-02-27 19:00:00";Required;Blue;"Albuquerque USA";12.8;N/A;N/A;Unknown;0;"1.6 gallons per flush for a total of 8 flushes"
35;"Cleaned the house";"House Cleaning";"2012-02-25 21:00:00";Required;Blue;"Albuquerque USA";2;N/A;N/A;Unknown;0;"I used 2 gallons of water to wash all of the floors in my house. "
35;"Toilet Flushes for 2/25";"Toilet flush";"2012-02-28 03:00:00";Required;Blue;"Albuquerque USA";13;N/A;N/A;Unknown;0;"This is the amount of water that I used flushing the toilet over the day. "
35;Shower;Hygiene;"2012-02-25 16:00:00";Required;Blue;"Albuquerque USA";22.5;Required;N/A;Unknown;0;"I calculated the amount of water that I use in the shower by collecting the water from the shower in a bucket for 30 seconds and found that my shower uses 1.5 gallons per minute. "
40;"Needed caffeine from coffee";"Food consumption";"2012-02-27 16:30:00";Optional;Blue;"Albuquerque USA";8.9;Required;Blue;Unknown;37;"I got this information from a website posting from one of my classmates.  The direct use is the use of milk and sugar.  The indirect is the water used to grow coffee beans.  "
40;"Quenching my thirst";Hydration;"2012-02-27 13:00:00";Required;Blue;"Albuquerque USA";0.4;N/A;N/A;Unknown;0;
35;Coffee;Food;"2012-02-25 15:00:00";Required;Blue;"Albuquerque USA";0.125;Required;Unknown;Unknown;73.92;"I directly used 2 cups = 0.125 gallons of water to make my coffee.  The Waterfootprint.org product gallery estimates that each cup of coffee takes 140 liters = 36.96 gallons of water to make. Thus, I indirectly used 73.92 gallons to make my coffee. "
35;Coffee;Food;"2012-02-27 14:30:00";Required;Blue;"Albuquerque USA";0.125;Required;Unknown;Unknown;73.92;"See my 2/25 Coffee for notes regarding calculation "
35;Coffee;Food;"2012-02-26 13:00:00";Required;Blue;"Albuquerque USA";0.125;Required;Unknown;Unknown;73.92;"See my 2/25 coffee for notes on this calculation"
35;Shower;Shower;"2012-02-26 13:15:00";Required;Blue;"Albuquerque USA";19.5;N/A;N/A;Unknown;0;
62;"Washing Hands";Hygiene;"2012-02-26 02:45:00";Optional;Unknown;"Albuquerque USA";6.5;N/A;N/A;Unknown;0;"I washed my hands 4 times"
62;"Washing Hands";Hygiene;"2012-02-26 02:45:00";Optional;Unknown;"Albuquerque USA";6.5;N/A;N/A;Unknown;0;"I washed my hands 4 times"
62;"Washing Dishes";Domestic;"2012-02-26 03:15:00";Required;Unknown;"Albuquerque USA";21;N/A;N/A;Unknown;0;
62;"Washing Dishes";Domestic;"2012-02-26 03:15:00";Required;Unknown;"Albuquerque USA";21;N/A;N/A;Unknown;0;
62;"Washing Dishes";Domestic;"2012-02-26 03:15:00";Required;Unknown;"Albuquerque USA";21;N/A;N/A;Unknown;0;
38;"6 Toilet Uses";toilet;"2012-02-28 03:15:00";Required;Grey;"Albuquerque USA";9.6;N/A;N/A;Unknown;0;
62;"Toilet Flush";Hygiene;"2012-02-27 03:30:00";Required;Unknown;"Albuquerque USA";24.4;N/A;N/A;Unknown;0;"4 flushes"
38;"5 miles of Driving";Driving;"2012-02-27 08:30:00";N/A;N/A;"Albuquerque USA";0;Required;Grey;Unknown;2.58;
62;Driving;Transportation;"2012-02-27 03:30:00";N/A;N/A;"Albuquerque USA";0;Required;Unknown;Unknown;13;
62;Driving;Transportation;"2012-02-27 03:30:00";N/A;N/A;"Albuquerque USA";0;Required;Unknown;Unknown;13;
38;Shower;Hygiene;"2012-02-27 18:00:00";Required;Grey;"Albuquerque USA";37.5;N/A;N/A;Unknown;0;"This was for a 15 minute shower."
38;"Filled 60 ounce water bottle";Drinking;"2012-02-27 16:30:00";Required;Blue;"Albuquerque USA";0.5;N/A;N/A;Unknown;0;
62;"Drinking Water";Hydration;"2012-02-27 03:30:00";Required;Blue;"Albuquerque USA";1;N/A;N/A;Unknown;0;
62;"Drinking Water";Hydration;"2012-02-27 03:30:00";Required;Blue;"Albuquerque USA";1;N/A;N/A;Unknown;0;
62;"Drinking Water";Hydration;"2012-02-27 03:30:00";Required;Blue;"Albuquerque USA";1;N/A;N/A;Unknown;0;
62;Laundry;Domestic;"2012-02-27 03:30:00";Optional;Unknown;"Albuquerque USA";27;N/A;N/A;Unknown;0;
62;Garden;Domestic;"2012-02-27 03:30:00";Optional;Unknown;"Albuquerque USA";5;N/A;N/A;Unknown;0;
62;"Washing Dishes";Domestic;"2012-02-27 03:30:00";Optional;Unknown;"Albuquerque USA";25;N/A;N/A;Unknown;0;
62;Coffee;Hydration;"2012-02-27 03:45:00";Optional;Unknown;"Albuquerque USA";0.13;N/A;N/A;Unknown;0;
38;"9 hand washings";Hygiene;"2012-02-28 03:45:00";Required;Grey;"Albuquerque USA";13.5;N/A;N/A;Unknown;0;
38;"Brushing teeth x2";Hygiene;"2012-02-28 03:45:00";Required;Grey;"Albuquerque USA";3;N/A;N/A;Unknown;0;
62;"Toilet Flush";Hygiene;"2012-02-28 03:45:00";Optional;Unknown;"Albuquerque USA";22.4;N/A;N/A;Unknown;0;"4 flushes"
62;Driving;Transportation;"2012-02-28 03:45:00";N/A;N/A;"Albuquerque USA";0;Required;Unknown;Unknown;13;
62;"Drinking Water";Hydration;"2012-02-28 03:45:00";Required;Blue;"Albuquerque USA";0.6;N/A;N/A;Unknown;0;
62;"Drinking Water";Hydration;"2012-02-28 03:45:00";Required;Blue;"Albuquerque USA";0.6;N/A;N/A;Unknown;0;
62;"Washing Dishes";Domestic;"2012-02-28 03:45:00";Optional;Unknown;"Albuquerque USA";18;N/A;N/A;Unknown;0;
62;"Washing Hands";Hygiene;"2012-02-28 03:45:00";Optional;Unknown;"Albuquerque USA";5;N/A;N/A;Unknown;0;
62;Shower;Hygiene;"2012-02-28 04:00:00";Optional;Unknown;"Albuquerque USA";15;N/A;N/A;Unknown;0;"Took this shower after swimming in the pool. I still dont know how to determine how much of the pool water I should figure into my calculations. How do I find this information out?"
57;"el shower";"use of the shower";"2012-02-28 04:15:00";Required;Blue;"Albuquerque USA";15;N/A;N/A;Unknown;0;
47;"Shower ";Hygiene;"2012-02-26 16:15:00";Required;Blue;"Albuquerque USA";30;N/A;N/A;Unknown;0;
47;"Brush Teeth ";Hygiene;"2012-02-26 16:30:00";Required;Blue;"Albuquerque USA";2;N/A;N/A;Unknown;0;"Brushed teeth twice. "
47;"Toilet Flushes ";Hygiene;"2012-02-26 19:00:00";Required;Blue;"Albuquerque USA";8;N/A;N/A;Unknown;0;"This is the total for my daily toilet flushes. I flushed 5 times. "
40;Shower;Hygiene;"2012-02-27 13:45:00";Required;Blue;"Albuquerque USA";13;N/A;N/A;Unknown;0;"Shower was approximately four minutes"
40;"Brushing Teeth and Washing Face x2";Hygiene;"2012-02-28 05:00:00";Required;Blue;"Albuquerque USA";0.75;N/A;N/A;Unknown;0;
40;"Cleaning Dishes";Sanitation;"2012-02-27 22:00:00";Required;Blue;"Albuquerque USA";2;N/A;N/A;Unknown;0;
47;"Hydration ";Hydration;"2012-02-26 19:00:00";Required;Blue;"Albuquerque USA";0.125;N/A;N/A;Unknown;0;"Drank 16 oz of water throughout the day. "
47;"Washed Dishes";"Washed Dishes";"2012-02-26 18:00:00";Required;Blue;"Albuquerque USA";28;N/A;N/A;Unknown;0;"I washed dishes for 7 minutes with a low flow sink.  "
47;"Shower ";Hygiene;"2012-02-27 14:30:00";Required;Blue;"Albuquerque USA";30;N/A;N/A;Unknown;0;
47;"Brushed Teeth ";Hygiene;"2012-02-27 15:00:00";Required;Blue;"Albuquerque USA";2;Required;Blue;Unknown;0;"Brushed teeth twice ."
47;"Toilet Flushes ";Hygiene;"2012-02-27 19:00:00";Required;Blue;"Albuquerque USA";6;N/A;N/A;Unknown;0;"I flushed the toilet 4 times throughout the day. "
47;"Drove to school ";Driving;"2012-02-27 15:15:00";N/A;N/A;"Albuquerque USA";0;Required;Unknown;"Albuquerque USA";6.79;"UNM is 15 miles from my house.  Every gallon of gas requires 12.9 gallons of water.  My car has approximately 30 mpg. "
47;"Drove to the gym ";Driving;"2012-02-27 22:30:00";N/A;N/A;"Albuquerque USA";0;Required;Unknown;Unknown;1.7;"It is 4 approximately 4 miles to the gym "
47;"Drove home from the gym ";Driving;"2012-02-28 00:30:00";N/A;N/A;"Albuquerque USA";0;Required;Unknown;Unknown;4.7;"It is approximately 11 miles from the gym to my house.  "
47;"Hydration ";Hydration;"2012-02-27 19:00:00";Required;Blue;"Albuquerque USA";0.125;N/A;N/A;Unknown;0;"I drank approximately 16 oz of water today. "
56;Consumption;"Food consumption";"2012-02-25 15:30:00";Required;Blue;"Albuquerque USA";0.2;N/A;N/A;Unknown;0;
56;Car;Transportation;"2012-02-25 15:45:00";Required;Green;"Albuquerque USA";1;N/A;N/A;Unknown;0;"Car usage of water to function"
56;food;"Food consumption";"2012-02-25 17:30:00";Required;Blue;"Albuquerque USA";2;Unsure;N/A;Unknown;0;"bowl of posole for breakfast/lunch"
56;food;"Food consumption";"2012-02-25 17:30:00";Required;Blue;"Albuquerque USA";2;Unsure;N/A;Unknown;0;"bowl of posole for breakfast/lunch"
56;"teeth cleaning";Hygiene;"2012-02-26 06:30:00";Required;Blue;"Albuquerque USA";0.3;N/A;N/A;Unknown;0;"brushing teeth water usage for the day"
56;"hand washing";Hygiene;"2012-02-26 06:30:00";Required;Blue;"Albuquerque USA";1;N/A;N/A;Unknown;0;"hand washing for the day"
56;shower;Hygiene;"2012-02-26 06:30:00";Required;Blue;"Albuquerque USA";30;N/A;N/A;Unknown;0;"that is according to my monthly water usage divided by the amount of showers on average per week.  I believe i can take shorter showers or buy a water saving shower head"
56;"shower/ toliet usage for the day";Hygiene;"2012-02-27 06:45:00";Required;Blue;"Albuquerque USA";40;N/A;N/A;Unknown;0;"average amount of toliet flushes and daily shower"
56;"Hand washing";Hygiene;"2012-02-27 06:45:00";Required;Blue;"Albuquerque USA";4;N/A;N/A;Unknown;0;"average hand washing perday"
56;"water consumption";"Food consumption";"2012-02-27 06:45:00";Required;Blue;"Albuquerque USA";2;N/A;N/A;Unknown;0;"this is the average between all fluid consumption"
56;car;Transportation;"2012-02-27 06:45:00";Required;Blue;"Albuquerque USA";2;N/A;N/A;Unknown;0;"water used to run my vechical"
65;Shower;Shower;"2012-02-25 15:00:00";Required;Blue;"Albuquerque USA";37.5;N/A;N/A;Unknown;0;
65;"hand washing";"hand washing";"2012-02-25 15:45:00";Required;Blue;"Albuquerque USA";1;N/A;N/A;Unknown;0;
65;"Brush teeth";"brushing teeth";"2012-02-25 16:00:00";Required;Blue;"Albuquerque USA";0.5;N/A;N/A;Unknown;0;
65;Coffee;Drinking;"2012-02-25 16:00:00";Unsure;Blue;"Albuquerque USA";0.5;N/A;N/A;Unknown;0;
65;"Drove to work";"gas usage";"2012-02-25 16:15:00";Unsure;Unknown;"Albuquerque USA";0;Required;Unknown;Unknown;3702;
65;"Toilet flush";"Toilet flush";"2012-02-25 18:30:00";Optional;Unknown;"Albuquerque USA";0;Optional;Unknown;Unknown;3.5;
65;"Drove home";"gas usage";"2012-02-25 08:30:00";Optional;Unknown;"Albuquerque USA";0;Required;Unknown;Unknown;3702;
57;"Shaved my face";shaved;"2012-02-28 14:30:00";Required;Blue;"Albuquerque USA";1.5;N/A;N/A;Unknown;0;
60;"Direct use household";household;"2012-02-25 23:00:00";Required;Green;"Albuquerque USA";47;N/A;Unknown;Unknown;16;"Summary of daily use. "
60;"Direct, household use ";household;"2012-02-26 23:00:00";Required;Green;"Albuquerque USA";48;Required;Unknown;Unknown;16;"Summary of daily use. "
